,neutral,sad,angry,fearful,disgust,surprised,happy
neutral,7,1,3,4,8,4,14
sad,9,5,1,4,7,3,9
angry,6,5,2,4,8,13,13
fearful,4,4,1,3,13,3,3
disgust,4,4,2,6,26,2,9
surprised,6,1,4,2,11,6,7
happy,10,1,1,5,7,0,13
