,neutral,happy,sad,angry,fearful,disgust,surprised
neutral,5,8,6,3,8,2,14
happy,8,6,1,2,8,2,9
sad,6,3,2,5,8,1,12
angry,5,6,1,3,5,2,13
fearful,3,5,4,3,17,10,14
disgust,3,6,4,2,5,3,12
surprised,3,12,5,2,1,1,19
