,neutral,happy,angry,fearful,disgust,surprised,sad
neutral,4,3,4,4,12,2,5
happy,2,8,2,4,14,2,3
angry,3,2,10,4,7,1,3
fearful,3,5,5,9,13,2,1
disgust,1,1,5,5,44,2,5
surprised,4,3,7,6,15,4,6
sad,8,4,7,7,12,0,5
