,neutral,happy,sad,angry,fearful,disgust,surprised
neutral,4,12,7,0,2,0,17
happy,8,5,5,2,6,0,16
sad,4,6,2,1,5,0,13
angry,2,5,6,5,16,1,8
fearful,3,5,8,2,25,2,10
disgust,2,5,4,3,10,0,12
surprised,7,7,7,3,3,0,12
