,neutral,happy,sad,angry,fearful,surprised,disgust
neutral,20,6,3,0,11,0,0
happy,19,9,0,0,12,0,0
sad,15,7,2,0,19,0,0
angry,9,4,0,0,23,0,0
fearful,4,4,0,0,50,0,0
surprised,6,6,0,0,26,0,0
disgust,8,4,0,0,21,0,0
