,neutral,happy,sad,angry,fearful,disgust,surprised
neutral,23,0,0,0,10,0,0
happy,18,0,0,0,23,0,0
sad,23,0,0,0,14,0,0
angry,18,0,0,0,20,0,0
fearful,18,0,0,0,39,0,0
disgust,16,0,0,0,21,0,0
surprised,20,0,0,0,25,0,0
