,neutral,happy,sad,angry,fearful,disgust,surprised
neutral,8,24,0,0,10,0,0
happy,11,6,0,0,16,0,0
sad,7,12,0,0,17,0,0
angry,6,11,0,0,23,0,0
fearful,6,9,0,0,39,0,0
disgust,8,8,0,0,26,0,0
surprised,9,9,0,0,23,0,0
