,neutral,happy,sad,angry,fearful,disgust,surprised
neutral,23,4,2,5,3,0,3
happy,1,18,0,3,13,4,3
sad,3,2,16,6,1,8,4
angry,3,7,5,6,2,4,5
fearful,1,2,3,0,43,8,1
disgust,1,2,1,3,17,8,7
surprised,6,5,1,2,2,2,19
