,neutral,happy,sad,angry,disgust,fearful,surprised
neutral,20,4,2,10,3,2,6
happy,3,13,1,3,8,2,6
sad,3,2,7,4,6,7,3
angry,4,1,7,10,9,2,2
disgust,0,2,2,1,57,6,1
fearful,2,3,2,2,16,8,2
surprised,1,2,4,5,4,2,16
