,angry,disgust,fear,happy,neutral,sad,surprise
angry,7,0,0,2,0,0,0
disgust,0,9,0,0,1,0,0
fear,2,0,6,3,0,0,1
happy,1,0,1,6,0,0,1
neutral,0,0,1,0,27,0,0
sad,2,0,0,0,9,3,0
surprise,2,2,3,2,0,0,5
