,angry,disgust,fear,happy,neutral,sad,surprise
angry,4,0,0,3,2,0,1
disgust,1,8,1,1,3,0,1
fear,2,0,7,3,1,0,3
happy,2,0,0,6,0,1,0
neutral,0,0,0,2,14,6,0
sad,0,0,0,0,2,8,0
surprise,2,1,1,2,0,2,6
