,neutral,happy,angry,fearful,sad,disgust,surprised
neutral,24,2,1,1,0,1,2
happy,2,26,1,2,1,4,1
angry,3,0,23,1,3,2,1
fearful,3,1,1,35,2,1,2
sad,2,0,1,2,39,2,0
disgust,2,2,1,5,11,25,1
surprised,5,5,9,2,1,0,27
