,neutral,sad,angry,fearful,disgust,surprised,happy
neutral,39,1,3,2,1,4,1
sad,1,20,2,0,0,1,4
angry,1,2,21,2,0,7,4
fearful,1,1,2,26,3,8,2
disgust,1,2,1,2,43,5,0
surprised,1,2,1,2,7,19,1
happy,0,5,8,4,2,1,22
