,happiness,neutral,sadness,anger,anxiety/fear,boredom,disgust
happiness,23,0,2,0,0,0,0
neutral,9,0,1,0,0,0,0
sadness,3,0,10,0,0,0,0
anger,7,0,2,0,0,0,0
anxiety/fear,13,0,3,0,0,0,0
boredom,3,0,15,0,0,0,0
disgust,2,0,14,0,0,0,0
