,anger,disgust,fear,happiness,neutral,sadness,surprise
anger,167,10,3,4,0,0,6
disgust,11,147,2,6,6,3,17
fear,1,7,183,2,2,5,10
happiness,2,11,1,169,1,15,8
neutral,1,0,2,1,199,1,0
sadness,0,1,8,3,5,168,1
surprise,6,18,5,7,1,2,172
