,angry,disgust,fear,happy,neutral,sad,surprise
angry,6,0,0,2,1,0,0
disgust,0,8,2,1,1,1,2
fear,0,0,1,0,0,0,4
happy,1,0,2,9,1,1,2
neutral,0,1,1,0,21,4,1
sad,0,0,0,0,3,7,1
surprise,0,3,3,1,0,0,5
