,angry,disgust,fear,happy,neutral,sad,surprise
angry,5,0,0,0,1,0,3
disgust,0,7,0,0,4,0,0
fear,2,2,7,3,1,1,1
happy,2,0,1,5,0,0,2
neutral,0,0,3,0,16,5,0
sad,1,2,1,0,3,10,0
surprise,0,1,0,1,0,0,6
